"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CREO"	"VICTORIA"	"BIEN"	"PC"	"FCN_NACION"	"CONVERGENCIA"	"VALOR"	"UNIDOS"	"PPT"	"PODEMOS"	"MLP"	"TODOS"	"URNG_MAIZ"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17193"	"4"	"16"	"12"	"2"	"380"	"5"	"29"	"8"	"0"	"47"	"22"	"3"	"51"	"5"	"3"	"1"	"1"	"8"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"19"	"5"	"0"	"240"	"240"	"1"	"0"
"17194"	"4"	"16"	"12"	"2"	"289"	"6"	"20"	"8"	"2"	"42"	"20"	"0"	"46"	"1"	"2"	"0"	"3"	"9"	"23"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"5"	"3"	"0"	"192"	"192"	"1"	"0"
"17195"	"4"	"16"	"12"	"2"	"291"	"3"	"15"	"7"	"1"	"43"	"27"	"2"	"57"	"4"	"3"	"0"	"2"	"1"	"29"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"9"	"2"	"0"	"206"	"206"	"1"	"0"
"17196"	"4"	"16"	"12"	"2"	"380"	"5"	"23"	"9"	"2"	"24"	"41"	"3"	"43"	"68"	"14"	"0"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"29"	"14"	"0"	"281"	"281"	"1"	"0"
"17197"	"4"	"16"	"12"	"2"	"380"	"15"	"24"	"5"	"4"	"7"	"25"	"2"	"32"	"107"	"1"	"0"	"6"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"22"	"16"	"0"	"271"	"271"	"1"	"0"
"17198"	"4"	"16"	"12"	"2"	"380"	"10"	"9"	"12"	"1"	"20"	"42"	"5"	"58"	"90"	"2"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"17"	"13"	"0"	"286"	"286"	"1"	"0"
"17199"	"4"	"16"	"12"	"2"	"380"	"3"	"13"	"13"	"1"	"15"	"12"	"4"	"48"	"107"	"6"	"0"	"2"	"2"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"27"	"13"	"0"	"272"	"272"	"1"	"0"
"17200"	"4"	"16"	"12"	"2"	"380"	"6"	"14"	"25"	"2"	"24"	"38"	"3"	"55"	"43"	"16"	"0"	"6"	"2"	"6"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"29"	"18"	"0"	"295"	"295"	"1"	"0"
"17201"	"4"	"16"	"12"	"2"	"380"	"5"	"8"	"16"	"4"	"21"	"38"	"2"	"53"	"75"	"4"	"1"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"9"	"6"	"0"	"247"	"247"	"1"	"0"
"17202"	"4"	"16"	"12"	"2"	"385"	"5"	"10"	"24"	"2"	"15"	"48"	"5"	"44"	"70"	"8"	"0"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"16"	"6"	"0"	"261"	"261"	"1"	"0"
