"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"PC"	"WINAQ"	"COCIM"	"URNG_MAIZ"	"VIVA"	"BIEN"	"SEMILLA"	"MLP"	"VAMOS"	"FUERZA"	"UCN"	"FCN_NACION"	"UNIDOS"	"CCT"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14793"	"4"	"14"	"6"	"2"	"400"	"38"	"42"	"11"	"1"	"14"	"14"	"1"	"5"	"3"	"8"	"57"	"6"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"12"	"26"	"0"	"244"	"244"	"1"	"0"
"14794"	"4"	"14"	"6"	"2"	"400"	"27"	"58"	"2"	"5"	"24"	"10"	"0"	"9"	"3"	"4"	"94"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"8"	"0"	"259"	"259"	"1"	"0"
"14795"	"4"	"14"	"6"	"2"	"400"	"21"	"58"	"6"	"1"	"19"	"6"	"4"	"11"	"3"	"4"	"89"	"10"	"3"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"9"	"10"	"0"	"259"	"259"	"1"	"0"
"14796"	"4"	"14"	"6"	"2"	"400"	"32"	"54"	"11"	"4"	"25"	"5"	"3"	"8"	"3"	"3"	"89"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"5"	"0"	"260"	"260"	"1"	"0"
"14797"	"4"	"14"	"6"	"2"	"400"	"19"	"55"	"13"	"3"	"16"	"6"	"6"	"12"	"6"	"5"	"76"	"12"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"13"	"5"	"0"	"253"	"253"	"1"	"0"
"14798"	"4"	"14"	"6"	"2"	"379"	"23"	"61"	"7"	"1"	"14"	"12"	"3"	"3"	"3"	"5"	"77"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"3"	"4"	"0"	"224"	"224"	"1"	"0"
"14799"	"4"	"14"	"6"	"2"	"379"	"25"	"59"	"7"	"1"	"29"	"1"	"1"	"4"	"2"	"6"	"84"	"9"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"4"	"9"	"0"	"245"	"245"	"1"	"0"
"14800"	"4"	"14"	"6"	"2"	"376"	"70"	"35"	"30"	"1"	"7"	"6"	"3"	"10"	"2"	"5"	"81"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"9"	"17"	"0"	"279"	"279"	"1"	"0"
"14801"	"4"	"14"	"6"	"2"	"380"	"45"	"40"	"19"	"3"	"17"	"9"	"1"	"10"	"7"	"4"	"45"	"12"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"17"	"11"	"0"	"251"	"251"	"1"	"0"
"14802"	"4"	"14"	"6"	"2"	"376"	"43"	"28"	"12"	"1"	"16"	"9"	"6"	"11"	"2"	"6"	"70"	"4"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"17"	"21"	"0"	"260"	"260"	"1"	"0"
