"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15166"	"4"	"14"	"12"	"2"	"314"	"111"	"4"	"58"	"0"	"1"	"2"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"3"	"5"	"0"	"191"	"191"	"1"	"0"
"15167"	"4"	"14"	"12"	"2"	"313"	"74"	"7"	"49"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"1"	"4"	"0"	"140"	"140"	"1"	"0"
"15168"	"4"	"14"	"12"	"2"	"400"	"128"	"43"	"21"	"4"	"3"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"4"	"8"	"0"	"222"	"222"	"1"	"0"
"15169"	"4"	"14"	"12"	"2"	"400"	"176"	"14"	"17"	"4"	"2"	"2"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"6"	"9"	"0"	"242"	"242"	"1"	"0"
"15170"	"4"	"14"	"12"	"2"	"400"	"86"	"18"	"39"	"5"	"3"	"3"	"0"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"5"	"11"	"0"	"222"	"222"	"1"	"0"
"15171"	"4"	"14"	"12"	"2"	"400"	"140"	"9"	"41"	"6"	"3"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"8"	"7"	"0"	"224"	"224"	"1"	"0"
"15172"	"4"	"14"	"12"	"2"	"400"	"102"	"6"	"65"	"9"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"8"	"11"	"0"	"205"	"205"	"1"	"0"
"15173"	"4"	"14"	"12"	"2"	"400"	"92"	"18"	"29"	"3"	"5"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"4"	"4"	"0"	"164"	"164"	"1"	"0"
"15174"	"4"	"14"	"12"	"2"	"397"	"103"	"23"	"31"	"5"	"5"	"3"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"4"	"3"	"0"	"189"	"189"	"1"	"0"
"15175"	"4"	"14"	"12"	"2"	"400"	"98"	"27"	"29"	"5"	"2"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"4"	"7"	"0"	"184"	"184"	"1"	"0"
