"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"CREO"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"UNE"	"UNIDOS"	"LIBRE"	"VICTORIA"	"FCN_NACION"	"BIEN"	"PHG"	"PC"	"URNG_MAIZ"	"VIVA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4313"	"4"	"1"	"16"	"2"	"243"	"4"	"4"	"3"	"47"	"0"	"9"	"13"	"1"	"12"	"1"	"7"	"0"	"9"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"4"	"1"	"0"	"125"	"125"	"1"	"0"
"4314"	"4"	"1"	"16"	"2"	"399"	"5"	"8"	"8"	"103"	"1"	"27"	"36"	"1"	"11"	"2"	"7"	"1"	"11"	"9"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"6"	"0"	"253"	"253"	"1"	"0"
"4315"	"4"	"1"	"16"	"2"	"400"	"9"	"1"	"8"	"111"	"4"	"31"	"40"	"2"	"7"	"4"	"11"	"2"	"11"	"10"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"16"	"3"	"0"	"283"	"283"	"1"	"0"
"4316"	"4"	"1"	"16"	"2"	"397"	"3"	"5"	"5"	"108"	"4"	"39"	"30"	"4"	"8"	"2"	"9"	"0"	"10"	"7"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"15"	"10"	"0"	"266"	"266"	"1"	"0"
"4317"	"4"	"1"	"16"	"2"	"400"	"6"	"4"	"5"	"96"	"0"	"29"	"41"	"4"	"21"	"2"	"5"	"0"	"15"	"6"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"17"	"3"	"0"	"265"	"265"	"1"	"0"
"4318"	"4"	"1"	"16"	"2"	"400"	"3"	"8"	"4"	"113"	"0"	"32"	"30"	"1"	"11"	"3"	"5"	"2"	"12"	"7"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"38"	"4"	"0"	"281"	"281"	"1"	"0"
"4319"	"4"	"1"	"16"	"2"	"400"	"5"	"6"	"10"	"96"	"2"	"38"	"34"	"3"	"11"	"2"	"6"	"2"	"4"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"5"	"0"	"0"	"238"	"238"	"1"	"0"
"4320"	"4"	"1"	"16"	"2"	"400"	"4"	"4"	"2"	"108"	"2"	"32"	"21"	"0"	"10"	"1"	"6"	"0"	"10"	"13"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"6"	"0"	"232"	"232"	"1"	"2"
"4321"	"4"	"1"	"16"	"2"	"400"	"4"	"5"	"4"	"107"	"2"	"22"	"33"	"0"	"9"	"4"	"12"	"1"	"6"	"12"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"19"	"5"	"0"	"249"	"249"	"1"	"0"
"4322"	"4"	"1"	"16"	"2"	"400"	"8"	"4"	"6"	"120"	"1"	"27"	"32"	"1"	"9"	"2"	"11"	"2"	"8"	"10"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"6"	"4"	"0"	"256"	"256"	"1"	"0"
"4323"	"4"	"1"	"16"	"2"	"377"	"2"	"10"	"5"	"115"	"2"	"21"	"34"	"1"	"7"	"4"	"10"	"1"	"9"	"9"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"22"	"6"	"0"	"266"	"266"	"1"	"0"
