"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"BIEN"	"UCN"	"VAMOS"	"FCN_NACION"	"VALOR"	"MLP"	"UNIONISTA"	"FUERZA"	"SEMILLA"	"VIVA"	"TODOS"	"PC"	"CONVERGENCIA"	"PHG"	"AVANZA"	"UNIDOS"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19862"	"4"	"21"	"1"	"2"	"0"	"63"	"12"	"61"	"9"	"12"	"7"	"3"	"1"	"2"	"38"	"7"	"1"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"11"	"0"	"0"	"236"	"236"	"1"	"0"
"19863"	"4"	"21"	"1"	"2"	"337"	"40"	"6"	"51"	"5"	"10"	"15"	"5"	"1"	"2"	"20"	"2"	"1"	"1"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"10"	"1"	"0"	"179"	"179"	"1"	"0"
"19864"	"4"	"21"	"1"	"2"	"336"	"37"	"16"	"77"	"4"	"11"	"7"	"1"	"6"	"2"	"34"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"6"	"2"	"0"	"210"	"210"	"1"	"0"
"19865"	"4"	"21"	"1"	"2"	"376"	"60"	"20"	"20"	"8"	"15"	"3"	"19"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"22"	"20"	"0"	"194"	"194"	"1"	"0"
"19866"	"4"	"21"	"1"	"2"	"380"	"74"	"23"	"27"	"9"	"16"	"6"	"27"	"0"	"2"	"2"	"1"	"1"	"2"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"9"	"29"	"0"	"236"	"236"	"1"	"0"
"19867"	"4"	"21"	"1"	"2"	"377"	"75"	"16"	"32"	"9"	"10"	"5"	"31"	"1"	"3"	"3"	"0"	"3"	"0"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"26"	"19"	"136"	"241"	"241"	"1"	"0"
"19868"	"4"	"21"	"1"	"2"	"380"	"70"	"31"	"24"	"9"	"4"	"0"	"20"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"19"	"16"	"0"	"204"	"204"	"1"	"0"
"19869"	"4"	"21"	"1"	"2"	"380"	"61"	"30"	"30"	"6"	"10"	"8"	"16"	"0"	"4"	"4"	"1"	"5"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"180"	"25"	"12"	"0"	"218"	"217"	"0"	"0"
"19870"	"4"	"21"	"1"	"2"	"380"	"71"	"20"	"17"	"1"	"27"	"7"	"19"	"3"	"1"	"4"	"2"	"3"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"181"	"29"	"20"	"0"	"231"	"230"	"0"	"0"
"19871"	"4"	"21"	"1"	"2"	"376"	"84"	"16"	"23"	"4"	"18"	"3"	"17"	"0"	"3"	"2"	"2"	"2"	"1"	"0"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"35"	"19"	"0"	"236"	"236"	"1"	"0"
"19872"	"4"	"21"	"1"	"2"	"380"	"70"	"25"	"19"	"6"	"14"	"7"	"21"	"3"	"1"	"3"	"2"	"4"	"0"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"30"	"14"	"0"	"227"	"227"	"1"	"0"
"19873"	"4"	"21"	"1"	"2"	"380"	"49"	"15"	"19"	"3"	"19"	"5"	"18"	"1"	"4"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"139"	"16"	"10"	"0"	"156"	"165"	"0"	"0"
"19874"	"4"	"21"	"1"	"2"	"474"	"58"	"17"	"18"	"10"	"17"	"5"	"20"	"1"	"1"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"15"	"9"	"0"	"178"	"178"	"1"	"0"
"19875"	"4"	"21"	"1"	"2"	"372"	"44"	"19"	"22"	"7"	"19"	"2"	"17"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"140"	"10"	"11"	"0"	"160"	"161"	"0"	"0"
"19876"	"4"	"21"	"1"	"2"	"358"	"40"	"17"	"15"	"8"	"12"	"1"	"16"	"2"	"4"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"11"	"5"	"0"	"138"	"138"	"1"	"0"
"19877"	"4"	"21"	"1"	"2"	"356"	"48"	"32"	"30"	"6"	"12"	"3"	"21"	"2"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"159"	"5"	"7"	"0"	"0"	"171"	"0"	"0"
"19878"	"4"	"21"	"1"	"2"	"380"	"67"	"60"	"18"	"0"	"6"	"3"	"10"	"1"	"2"	"3"	"3"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"32"	"14"	"0"	"224"	"224"	"1"	"0"
"19879"	"4"	"21"	"1"	"2"	"380"	"79"	"53"	"8"	"3"	"5"	"1"	"9"	"0"	"1"	"3"	"3"	"2"	"4"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"28"	"8"	"0"	"211"	"211"	"1"	"0"
"19880"	"4"	"21"	"1"	"2"	"380"	"81"	"70"	"17"	"5"	"4"	"3"	"7"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"37"	"9"	"0"	"239"	"239"	"1"	"0"
"19881"	"4"	"21"	"1"	"2"	"380"	"96"	"72"	"18"	"5"	"2"	"2"	"7"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"34"	"15"	"0"	"259"	"259"	"1"	"0"
"19882"	"4"	"21"	"1"	"2"	"380"	"101"	"62"	"22"	"3"	"5"	"1"	"4"	"1"	"0"	"5"	"1"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"49"	"14"	"0"	"275"	"275"	"1"	"0"
"19883"	"4"	"21"	"1"	"2"	"380"	"90"	"81"	"28"	"3"	"6"	"0"	"10"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"225"	"33"	"9"	"0"	"274"	"267"	"0"	"0"
"19884"	"4"	"21"	"1"	"2"	"375"	"97"	"65"	"36"	"4"	"7"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"28"	"10"	"0"	"255"	"255"	"1"	"0"
"19885"	"4"	"21"	"1"	"2"	"380"	"70"	"78"	"20"	"3"	"4"	"4"	"11"	"2"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"34"	"9"	"0"	"242"	"242"	"1"	"0"
"19886"	"4"	"21"	"1"	"2"	"385"	"83"	"75"	"20"	"2"	"2"	"3"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"24"	"9"	"0"	"226"	"226"	"1"	"0"
"19887"	"4"	"21"	"1"	"2"	"380"	"57"	"62"	"22"	"3"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"21"	"3"	"0"	"178"	"178"	"1"	"0"
