"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"WINAQ"	"UNE"	"FUERZA"	"VAMOS"	"PHG"	"BIEN"	"VIVA"	"UNIONISTA"	"UCN"	"FCN_NACION"	"URNG_MAIZ"	"AVANZA"	"SEMILLA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11649"	"4"	"12"	"4"	"2"	"399"	"14"	"70"	"18"	"17"	"0"	"2"	"31"	"24"	"1"	"16"	"4"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"6"	"8"	"0"	"219"	"219"	"1"	"0"
"11650"	"4"	"12"	"4"	"2"	"400"	"11"	"77"	"17"	"9"	"1"	"1"	"23"	"14"	"2"	"22"	"7"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"25"	"13"	"0"	"235"	"235"	"1"	"0"
"11651"	"4"	"12"	"4"	"2"	"400"	"18"	"93"	"14"	"16"	"0"	"0"	"33"	"16"	"1"	"21"	"9"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"14"	"8"	"0"	"254"	"254"	"1"	"0"
"11652"	"4"	"12"	"4"	"2"	"400"	"18"	"78"	"18"	"8"	"3"	"2"	"52"	"15"	"0"	"16"	"7"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"18"	"11"	"0"	"264"	"264"	"1"	"0"
"11653"	"4"	"12"	"4"	"2"	"400"	"19"	"60"	"14"	"14"	"0"	"1"	"48"	"28"	"2"	"16"	"2"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"8"	"7"	"0"	"231"	"231"	"1"	"0"
"11654"	"4"	"12"	"4"	"2"	"400"	"15"	"31"	"16"	"18"	"0"	"1"	"43"	"17"	"2"	"20"	"13"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"186"	"17"	"7"	"0"	"200"	"210"	"0"	"0"
"11655"	"4"	"12"	"4"	"2"	"278"	"10"	"32"	"16"	"1"	"1"	"0"	"14"	"15"	"3"	"13"	"2"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"1"	"6"	"0"	"126"	"126"	"1"	"0"
"11656"	"4"	"12"	"4"	"2"	"277"	"10"	"28"	"11"	"9"	"0"	"3"	"43"	"9"	"0"	"12"	"3"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"137"	"3"	"0"	"0"	"141"	"140"	"0"	"0"
"11657"	"4"	"12"	"4"	"2"	"380"	"18"	"47"	"22"	"11"	"0"	"0"	"30"	"13"	"0"	"37"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"8"	"6"	"0"	"202"	"202"	"1"	"0"
"11658"	"4"	"12"	"4"	"2"	"380"	"9"	"63"	"21"	"16"	"0"	"1"	"22"	"13"	"1"	"31"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"16"	"9"	"0"	"212"	"212"	"1"	"0"
"11659"	"4"	"12"	"4"	"2"	"400"	"14"	"56"	"23"	"17"	"2"	"1"	"28"	"12"	"0"	"31"	"1"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"24"	"10"	"0"	"230"	"230"	"1"	"0"
"11660"	"4"	"12"	"4"	"2"	"380"	"13"	"54"	"28"	"8"	"0"	"1"	"31"	"14"	"1"	"35"	"2"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"26"	"6"	"0"	"240"	"240"	"1"	"0"
"11661"	"4"	"12"	"4"	"2"	"380"	"13"	"180"	"19"	"6"	"0"	"3"	"27"	"14"	"0"	"32"	"3"	"4"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"322"	"13"	"13"	"0"	"248"	"348"	"0"	"0"
"11662"	"4"	"12"	"4"	"2"	"380"	"9"	"77"	"21"	"16"	"0"	"6"	"26"	"11"	"0"	"45"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"21"	"17"	"0"	"261"	"261"	"1"	"0"
"11663"	"4"	"12"	"4"	"2"	"380"	"10"	"64"	"25"	"8"	"0"	"3"	"28"	"24"	"0"	"42"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"13"	"9"	"0"	"244"	"244"	"1"	"0"
"11664"	"4"	"12"	"4"	"2"	"380"	"12"	"65"	"23"	"8"	"0"	"1"	"31"	"13"	"2"	"50"	"5"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"11"	"4"	"0"	"243"	"243"	"1"	"0"
"11665"	"4"	"12"	"4"	"2"	"380"	"3"	"53"	"19"	"6"	"1"	"0"	"21"	"19"	"0"	"37"	"6"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"4"	"2"	"0"	"185"	"185"	"1"	"0"
"11666"	"4"	"12"	"4"	"2"	"380"	"15"	"44"	"20"	"7"	"1"	"1"	"15"	"7"	"0"	"33"	"5"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"17"	"14"	"0"	"189"	"189"	"1"	"0"
"11667"	"4"	"12"	"4"	"2"	"380"	"9"	"43"	"16"	"10"	"2"	"0"	"30"	"10"	"0"	"44"	"2"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"6"	"7"	"0"	"196"	"196"	"1"	"0"
"11668"	"4"	"12"	"4"	"2"	"380"	"10"	"41"	"27"	"9"	"0"	"1"	"28"	"4"	"1"	"34"	"1"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"3"	"3"	"0"	"181"	"181"	"1"	"0"
"11669"	"4"	"12"	"4"	"2"	"270"	"4"	"43"	"10"	"9"	"0"	"0"	"18"	"13"	"0"	"29"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"2"	"1"	"0"	"140"	"140"	"1"	"0"
"11670"	"4"	"12"	"4"	"2"	"270"	"8"	"31"	"9"	"3"	"0"	"2"	"22"	"16"	"0"	"31"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"2"	"1"	"0"	"136"	"136"	"1"	"0"
"11671"	"4"	"12"	"4"	"2"	"380"	"19"	"73"	"28"	"13"	"1"	"2"	"27"	"13"	"3"	"31"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"9"	"11"	"0"	"242"	"242"	"1"	"0"
"11672"	"4"	"12"	"4"	"2"	"380"	"16"	"80"	"25"	"12"	"3"	"0"	"28"	"10"	"1"	"45"	"3"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"5"	"0"	"247"	"247"	"1"	"0"
"11673"	"4"	"12"	"4"	"2"	"380"	"20"	"94"	"22"	"22"	"0"	"1"	"24"	"10"	"0"	"27"	"4"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"13"	"7"	"0"	"253"	"253"	"1"	"0"
"11674"	"4"	"12"	"4"	"2"	"400"	"13"	"55"	"26"	"12"	"0"	"0"	"40"	"10"	"0"	"40"	"1"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"3"	"4"	"0"	"217"	"217"	"1"	"0"
"11675"	"4"	"12"	"4"	"2"	"379"	"10"	"66"	"33"	"8"	"1"	"0"	"21"	"13"	"2"	"35"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"4"	"5"	"0"	"207"	"207"	"1"	"0"
"11676"	"4"	"12"	"4"	"2"	"184"	"10"	"56"	"25"	"7"	"2"	"0"	"32"	"16"	"0"	"18"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"5"	"3"	"0"	"184"	"184"	"1"	"0"
"11677"	"4"	"12"	"4"	"2"	"380"	"74"	"39"	"20"	"1"	"0"	"0"	"30"	"34"	"1"	"24"	"4"	"11"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"12"	"0"	"278"	"278"	"1"	"0"
"11678"	"4"	"12"	"4"	"2"	"380"	"64"	"42"	"16"	"3"	"1"	"0"	"31"	"33"	"0"	"26"	"2"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"234"	"21"	"19"	"0"	"274"	"274"	"0"	"0"
"11679"	"4"	"12"	"4"	"2"	"377"	"82"	"47"	"15"	"5"	"0"	"0"	"24"	"46"	"1"	"24"	"1"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"19"	"7"	"0"	"293"	"293"	"1"	"0"
"11680"	"4"	"12"	"4"	"2"	"380"	"78"	"47"	"13"	"3"	"1"	"0"	"18"	"43"	"2"	"35"	"2"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"37"	"15"	"0"	"311"	"311"	"1"	"0"
"11681"	"4"	"12"	"4"	"2"	"380"	"73"	"57"	"22"	"3"	"1"	"1"	"20"	"57"	"1"	"22"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"18"	"15"	"0"	"303"	"303"	"1"	"0"
"11682"	"4"	"12"	"4"	"2"	"380"	"59"	"64"	"39"	"2"	"0"	"0"	"29"	"35"	"1"	"29"	"3"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"14"	"6"	"0"	"296"	"296"	"1"	"0"
"11683"	"4"	"12"	"4"	"2"	"380"	"68"	"33"	"14"	"3"	"0"	"0"	"22"	"48"	"0"	"26"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"11"	"7"	"0"	"241"	"241"	"1"	"0"
"11684"	"4"	"12"	"4"	"2"	"380"	"70"	"40"	"21"	"2"	"2"	"0"	"23"	"44"	"1"	"28"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"3"	"0"	"249"	"249"	"1"	"0"
"11685"	"4"	"12"	"4"	"2"	"323"	"47"	"35"	"13"	"2"	"0"	"3"	"16"	"36"	"0"	"22"	"0"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"13"	"5"	"0"	"206"	"206"	"1"	"0"
"11686"	"4"	"12"	"4"	"2"	"322"	"50"	"36"	"15"	"0"	"0"	"0"	"21"	"41"	"0"	"27"	"0"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"4"	"3"	"0"	"210"	"210"	"1"	"0"
"11687"	"4"	"12"	"4"	"2"	"380"	"8"	"66"	"15"	"5"	"0"	"1"	"12"	"24"	"0"	"18"	"4"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"25"	"6"	"0"	"195"	"195"	"1"	"0"
"11688"	"4"	"12"	"4"	"2"	"378"	"7"	"62"	"25"	"7"	"2"	"4"	"13"	"17"	"0"	"22"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"34"	"11"	"1"	"215"	"215"	"1"	"0"
"11689"	"4"	"12"	"4"	"2"	"380"	"4"	"57"	"15"	"7"	"0"	"3"	"10"	"18"	"1"	"32"	"3"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"23"	"8"	"31"	"159"	"190"	"0"	"0"
"11690"	"4"	"12"	"4"	"2"	"248"	"2"	"40"	"12"	"0"	"2"	"1"	"9"	"8"	"0"	"28"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"9"	"14"	"0"	"131"	"131"	"1"	"0"
"11691"	"4"	"12"	"4"	"2"	"250"	"4"	"60"	"8"	"6"	"0"	"2"	"9"	"8"	"0"	"12"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"3"	"5"	"0"	"120"	"120"	"1"	"0"
"11692"	"4"	"12"	"4"	"2"	"377"	"26"	"80"	"25"	"5"	"0"	"0"	"8"	"11"	"1"	"46"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"9"	"9"	"0"	"227"	"227"	"1"	"0"
"11693"	"4"	"12"	"4"	"2"	"380"	"33"	"97"	"18"	"5"	"0"	"2"	"3"	"14"	"1"	"41"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"11"	"8"	"0"	"237"	"237"	"1"	"0"
