"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"UCN"	"CONVERGENCIA"	"LIBRE"	"CREO"	"VALOR"	"MLP"	"TODOS"	"FCN_NACION"	"URNG_MAIZ"	"VICTORIA"	"CCCSP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12558"	"4"	"12"	"19"	"2"	"380"	"76"	"18"	"101"	"2"	"0"	"1"	"3"	"7"	"3"	"0"	"10"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"2"	"0"	"246"	"246"	"1"	"0"
"12559"	"4"	"12"	"19"	"2"	"379"	"137"	"15"	"52"	"2"	"4"	"1"	"3"	"6"	"2"	"0"	"9"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"10"	"2"	"0"	"248"	"248"	"1"	"0"
"12560"	"4"	"12"	"19"	"2"	"380"	"90"	"27"	"77"	"1"	"2"	"1"	"9"	"5"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"15"	"2"	"0"	"231"	"231"	"1"	"0"
"12561"	"4"	"12"	"19"	"2"	"380"	"90"	"16"	"53"	"2"	"3"	"1"	"6"	"5"	"0"	"0"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"13"	"3"	"0"	"200"	"200"	"1"	"0"
"12562"	"4"	"12"	"19"	"2"	"380"	"92"	"15"	"61"	"2"	"2"	"1"	"7"	"11"	"2"	"1"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"6"	"3"	"0"	"212"	"212"	"1"	"0"
"12563"	"4"	"12"	"19"	"2"	"380"	"82"	"18"	"71"	"0"	"3"	"1"	"7"	"14"	"2"	"0"	"10"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"11"	"7"	"0"	"231"	"231"	"1"	"0"
"12564"	"4"	"12"	"19"	"2"	"289"	"60"	"16"	"59"	"0"	"1"	"1"	"3"	"6"	"2"	"0"	"7"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"5"	"0"	"0"	"165"	"165"	"1"	"0"
"12565"	"4"	"12"	"19"	"2"	"297"	"78"	"10"	"56"	"0"	"1"	"0"	"5"	"2"	"3"	"0"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"3"	"3"	"0"	"167"	"167"	"1"	"0"
"12566"	"4"	"12"	"19"	"2"	"380"	"63"	"21"	"101"	"5"	"1"	"5"	"10"	"8"	"6"	"0"	"7"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"22"	"5"	"0"	"262"	"262"	"1"	"0"
"12567"	"4"	"12"	"19"	"2"	"380"	"71"	"13"	"82"	"2"	"3"	"10"	"53"	"5"	"2"	"2"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"30"	"8"	"0"	"289"	"289"	"1"	"0"
"12568"	"4"	"12"	"19"	"2"	"380"	"80"	"20"	"63"	"14"	"4"	"3"	"9"	"9"	"9"	"0"	"12"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"24"	"3"	"0"	"255"	"255"	"1"	"0"
"12569"	"4"	"12"	"19"	"2"	"380"	"68"	"9"	"58"	"6"	"3"	"1"	"18"	"7"	"12"	"0"	"5"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"16"	"1"	"0"	"212"	"212"	"1"	"0"
"12570"	"4"	"12"	"19"	"2"	"377"	"82"	"16"	"74"	"6"	"0"	"3"	"18"	"3"	"5"	"0"	"8"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"28"	"1"	"0"	"252"	"252"	"1"	"0"
"12571"	"4"	"12"	"19"	"2"	"380"	"77"	"17"	"87"	"10"	"2"	"3"	"17"	"6"	"8"	"0"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"22"	"7"	"0"	"267"	"267"	"1"	"0"
"12572"	"4"	"12"	"19"	"2"	"380"	"80"	"21"	"86"	"6"	"2"	"4"	"8"	"6"	"11"	"1"	"3"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"24"	"7"	"0"	"268"	"268"	"1"	"0"
"12573"	"4"	"12"	"19"	"2"	"380"	"69"	"10"	"82"	"4"	"3"	"5"	"21"	"9"	"9"	"1"	"2"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"19"	"5"	"0"	"249"	"249"	"1"	"0"
"12574"	"4"	"12"	"19"	"2"	"314"	"54"	"14"	"55"	"7"	"1"	"0"	"18"	"5"	"4"	"1"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"8"	"5"	"3"	"182"	"182"	"1"	"0"
"12575"	"4"	"12"	"19"	"2"	"312"	"51"	"11"	"60"	"1"	"3"	"3"	"18"	"5"	"4"	"0"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"6"	"4"	"0"	"177"	"177"	"1"	"0"
"12576"	"4"	"12"	"19"	"2"	"600"	"76"	"40"	"67"	"9"	"2"	"3"	"6"	"9"	"3"	"2"	"24"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"12"	"5"	"0"	"269"	"269"	"1"	"0"
"12577"	"4"	"12"	"19"	"2"	"600"	"59"	"22"	"95"	"3"	"4"	"2"	"8"	"7"	"0"	"2"	"12"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"19"	"6"	"0"	"248"	"248"	"1"	"0"
"12578"	"4"	"12"	"19"	"2"	"600"	"64"	"14"	"61"	"4"	"5"	"5"	"5"	"3"	"12"	"1"	"12"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"9"	"2"	"0"	"208"	"208"	"1"	"0"
"12579"	"4"	"12"	"19"	"2"	"431"	"32"	"14"	"41"	"5"	"5"	"6"	"1"	"3"	"5"	"2"	"10"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"13"	"9"	"0"	"160"	"160"	"1"	"0"
"12580"	"4"	"12"	"19"	"2"	"431"	"27"	"11"	"33"	"4"	"2"	"2"	"3"	"3"	"2"	"0"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"8"	"5"	"0"	"110"	"110"	"1"	"0"
