"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PPT"	"UNE"	"FCN_NACION"	"VAMOS"	"WINAQ"	"URNG_MAIZ"	"CREO"	"TODOS"	"VIVA"	"VALOR"	"BIEN"	"SEMILLA"	"VICTORIA"	"FUERZA"	"UCN"	"UNIONISTA"	"PAN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16651"	"4"	"16"	"7"	"2"	"380"	"0"	"105"	"11"	"18"	"1"	"12"	"13"	"9"	"0"	"14"	"2"	"6"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"26"	"5"	"0"	"231"	"231"	"1"	"0"
"16652"	"4"	"16"	"7"	"2"	"380"	"1"	"82"	"3"	"24"	"1"	"8"	"22"	"10"	"0"	"31"	"4"	"9"	"8"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"12"	"5"	"0"	"223"	"223"	"1"	"0"
"16653"	"4"	"16"	"7"	"2"	"206"	"0"	"69"	"3"	"9"	"1"	"9"	"5"	"3"	"1"	"18"	"2"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"6"	"2"	"0"	"138"	"138"	"1"	"0"
"16654"	"4"	"16"	"7"	"2"	"205"	"1"	"51"	"3"	"9"	"1"	"9"	"9"	"5"	"1"	"9"	"1"	"1"	"4"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"17"	"4"	"0"	"128"	"128"	"1"	"0"
"16655"	"4"	"16"	"7"	"2"	"380"	"1"	"71"	"2"	"19"	"2"	"32"	"22"	"18"	"1"	"38"	"14"	"8"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"235"	"20"	"7"	"0"	"264"	"262"	"0"	"0"
"16656"	"4"	"16"	"7"	"2"	"380"	"1"	"83"	"12"	"11"	"1"	"28"	"28"	"20"	"1"	"24"	"11"	"10"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"17"	"10"	"0"	"265"	"265"	"1"	"1"
"16657"	"4"	"16"	"7"	"2"	"380"	"0"	"53"	"9"	"19"	"1"	"22"	"25"	"18"	"1"	"22"	"8"	"6"	"11"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"34"	"6"	"0"	"238"	"238"	"1"	"0"
"16658"	"4"	"16"	"7"	"2"	"380"	"1"	"81"	"8"	"20"	"4"	"32"	"13"	"12"	"1"	"26"	"10"	"3"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"31"	"4"	"0"	"255"	"255"	"1"	"0"
"16659"	"4"	"16"	"7"	"2"	"376"	"1"	"87"	"8"	"9"	"3"	"23"	"13"	"14"	"0"	"26"	"12"	"14"	"4"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"29"	"5"	"0"	"252"	"252"	"1"	"0"
"16660"	"4"	"16"	"7"	"2"	"380"	"0"	"64"	"13"	"13"	"1"	"20"	"29"	"13"	"1"	"14"	"9"	"8"	"7"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"45"	"7"	"0"	"249"	"249"	"1"	"0"
"16661"	"4"	"16"	"7"	"2"	"380"	"1"	"56"	"13"	"16"	"5"	"16"	"32"	"15"	"0"	"27"	"20"	"8"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"36"	"5"	"0"	"257"	"257"	"1"	"0"
"16662"	"4"	"16"	"7"	"2"	"380"	"1"	"63"	"12"	"13"	"3"	"35"	"11"	"12"	"0"	"12"	"12"	"4"	"9"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"38"	"11"	"6"	"242"	"242"	"1"	"0"
"16663"	"4"	"16"	"7"	"2"	"380"	"1"	"60"	"8"	"8"	"3"	"30"	"19"	"9"	"1"	"13"	"18"	"2"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"45"	"6"	"0"	"231"	"231"	"1"	"0"
