"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"FUERZA"	"WINAQ"	"PODEMOS"	"PHG"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8167"	"4"	"7"	"6"	"2"	"380"	"36"	"171"	"83"	"10"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"303"	"4"	"3"	"0"	"309"	"310"	"0"	"0"
"8168"	"4"	"7"	"6"	"2"	"379"	"51"	"139"	"87"	"18"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"5"	"2"	"0"	"307"	"307"	"1"	"0"
"8169"	"4"	"7"	"6"	"2"	"381"	"52"	"162"	"48"	"13"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"5"	"1"	"0"	"284"	"284"	"1"	"0"
"8170"	"4"	"7"	"6"	"2"	"380"	"51"	"148"	"50"	"9"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"5"	"0"	"273"	"273"	"1"	"0"
"8171"	"4"	"7"	"6"	"2"	"380"	"27"	"162"	"64"	"8"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"6"	"3"	"0"	"274"	"274"	"1"	"0"
"8172"	"4"	"7"	"6"	"2"	"380"	"48"	"170"	"56"	"5"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"8"	"8"	"0"	"299"	"299"	"1"	"0"
"8173"	"4"	"7"	"6"	"2"	"380"	"35"	"154"	"82"	"10"	"1"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"12"	"6"	"0"	"306"	"306"	"1"	"0"
"8174"	"4"	"7"	"6"	"2"	"380"	"36"	"166"	"85"	"11"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"11"	"9"	"0"	"323"	"323"	"1"	"0"
"8175"	"4"	"7"	"6"	"2"	"380"	"44"	"162"	"73"	"19"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"7"	"4"	"0"	"312"	"312"	"1"	"0"
"8176"	"4"	"7"	"6"	"2"	"380"	"39"	"180"	"56"	"9"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"9"	"10"	"0"	"305"	"305"	"1"	"0"
