"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"UCN"	"FUERZA"	"VAMOS"	"PC"	"FCN_NACION"	"PODEMOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6667"	"4"	"5"	"4"	"2"	"0"	"63"	"78"	"72"	"23"	"4"	"4"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"254"	"7"	"2"	"1"	"264"	"263"	"0"	"0"
"6668"	"4"	"5"	"4"	"2"	"400"	"64"	"79"	"60"	"22"	"5"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"242"	"9"	"5"	"0"	"257"	"256"	"0"	"1"
"6669"	"4"	"5"	"4"	"2"	"0"	"61"	"91"	"62"	"21"	"8"	"3"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"2"	"5"	"7"	"273"	"266"	"0"	"0"
"6670"	"4"	"5"	"4"	"2"	"0"	"57"	"83"	"58"	"26"	"10"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"16"	"3"	"0"	"269"	"269"	"1"	"0"
"6671"	"4"	"5"	"4"	"2"	"0"	"62"	"94"	"61"	"21"	"10"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"15"	"6"	"0"	"281"	"281"	"1"	"2"
"6672"	"4"	"5"	"4"	"2"	"0"	"60"	"75"	"70"	"24"	"11"	"5"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"13"	"4"	"0"	"275"	"275"	"1"	"0"
"6673"	"4"	"5"	"4"	"2"	"0"	"59"	"78"	"72"	"18"	"5"	"1"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"8"	"5"	"0"	"259"	"259"	"1"	"1"
"6674"	"4"	"5"	"4"	"2"	"0"	"74"	"81"	"61"	"25"	"11"	"4"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"15"	"4"	"0"	"287"	"287"	"1"	"0"
"6675"	"4"	"5"	"4"	"2"	"0"	"71"	"93"	"61"	"33"	"13"	"5"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"8"	"1"	"0"	"296"	"296"	"1"	"0"
"6676"	"4"	"5"	"4"	"2"	"396"	"71"	"84"	"71"	"19"	"7"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"2"	"3"	"0"	"268"	"268"	"1"	"1"
"6677"	"4"	"5"	"4"	"2"	"400"	"81"	"95"	"72"	"29"	"7"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"4"	"3"	"0"	"299"	"299"	"1"	"0"
"6678"	"4"	"5"	"4"	"2"	"0"	"95"	"110"	"70"	"24"	"5"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"5"	"3"	"0"	"322"	"322"	"1"	"0"
"6679"	"4"	"5"	"4"	"2"	"276"	"49"	"59"	"55"	"24"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"2"	"0"	"209"	"209"	"1"	"0"
"6680"	"4"	"5"	"4"	"2"	"275"	"34"	"52"	"34"	"13"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"11"	"4"	"0"	"159"	"159"	"1"	"2"
"6681"	"4"	"5"	"4"	"2"	"600"	"79"	"103"	"66"	"17"	"6"	"5"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"20"	"5"	"0"	"312"	"312"	"1"	"1"
"6682"	"4"	"5"	"4"	"2"	"352"	"44"	"62"	"31"	"16"	"6"	"8"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"8"	"3"	"0"	"188"	"188"	"1"	"0"
"6683"	"4"	"5"	"4"	"2"	"351"	"36"	"37"	"24"	"11"	"3"	"4"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"5"	"1"	"0"	"129"	"129"	"1"	"0"
