"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"UNE"	"CREO"	"BIEN"	"UNIDOS"	"VICTORIA"	"FCN_NACION"	"PHG"	"PC"	"FUERZA"	"UNIONISTA"	"VALOR"	"MLP"	"PAN"	"UCN"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6123"	"3"	"4"	"5"	"2"	"331"	"20"	"2"	"35"	"67"	"18"	"0"	"0"	"9"	"6"	"37"	"10"	"1"	"3"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"11"	"13"	"0"	"241"	"241"	"1"	"0"
"6124"	"3"	"4"	"5"	"2"	"334"	"6"	"3"	"16"	"14"	"2"	"3"	"1"	"1"	"4"	"13"	"1"	"1"	"2"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"74"	"74"	"6"	"7"	"0"	"87"	"87"	"1"	"0"
"6125"	"3"	"4"	"5"	"2"	"333"	"9"	"3"	"6"	"6"	"5"	"3"	"1"	"4"	"1"	"9"	"3"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"56"	"56"	"9"	"6"	"0"	"71"	"71"	"1"	"0"
"6126"	"3"	"4"	"6"	"2"	"398"	"6"	"60"	"112"	"5"	"5"	"1"	"1"	"6"	"9"	"1"	"2"	"2"	"4"	"17"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"233"	"15"	"16"	"0"	"254"	"264"	"0"	"0"
"6127"	"3"	"4"	"6"	"2"	"400"	"8"	"65"	"90"	"4"	"11"	"1"	"1"	"7"	"9"	"1"	"10"	"1"	"10"	"14"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"18"	"22"	"0"	"275"	"275"	"1"	"0"
"6128"	"3"	"4"	"6"	"2"	"398"	"8"	"112"	"100"	"1"	"6"	"1"	"1"	"6"	"3"	"3"	"8"	"0"	"3"	"11"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"21"	"18"	"0"	"307"	"307"	"1"	"0"
"6129"	"3"	"4"	"6"	"2"	"400"	"8"	"98"	"106"	"3"	"3"	"2"	"0"	"10"	"5"	"0"	"11"	"1"	"7"	"16"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"17"	"22"	"0"	"315"	"315"	"1"	"0"
"6130"	"3"	"4"	"6"	"2"	"400"	"14"	"93"	"109"	"2"	"6"	"1"	"1"	"4"	"7"	"0"	"8"	"3"	"4"	"17"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"19"	"30"	"0"	"322"	"322"	"1"	"0"
"6131"	"3"	"4"	"6"	"2"	"400"	"6"	"102"	"98"	"4"	"7"	"0"	"1"	"15"	"2"	"0"	"6"	"0"	"5"	"10"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"14"	"29"	"0"	"308"	"308"	"1"	"0"
"6132"	"3"	"4"	"6"	"2"	"398"	"5"	"85"	"120"	"1"	"3"	"0"	"0"	"12"	"2"	"2"	"4"	"2"	"9"	"18"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"7"	"28"	"0"	"303"	"303"	"1"	"0"
"6133"	"3"	"4"	"6"	"2"	"400"	"11"	"96"	"101"	"4"	"6"	"0"	"0"	"7"	"1"	"3"	"1"	"1"	"11"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"18"	"25"	"0"	"320"	"320"	"1"	"0"
"6134"	"3"	"4"	"6"	"2"	"400"	"5"	"121"	"116"	"4"	"3"	"0"	"2"	"5"	"1"	"2"	"2"	"0"	"9"	"29"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"12"	"23"	"0"	"335"	"335"	"1"	"0"
"6135"	"3"	"4"	"6"	"2"	"400"	"6"	"104"	"142"	"2"	"6"	"0"	"1"	"7"	"3"	"3"	"2"	"1"	"7"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"13"	"18"	"0"	"332"	"332"	"1"	"0"
