"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"TODOS"	"UCN"	"PAN"	"PODEMOS"	"CREO"	"VALOR"	"VICTORIA"	"PC"	"SEMILLA"	"VIVA"	"BIEN"	"LIBRE"	"CONVERGENCIA"	"UNIONISTA"	"PPT"	"FUERZA"	"MLP"	"EG"	"FCN_NACION"	"AVANZA"	"UNIDOS"	"URNG_MAIZ"	"PHG"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6631"	"3"	"5"	"3"	"2"	"299"	"6"	"35"	"2"	"4"	"5"	"2"	"34"	"5"	"7"	"1"	"10"	"1"	"4"	"27"	"1"	"0"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"36"	"0"	"0"	"0"	"0"	"187"	"187"	"9"	"16"	"0"	"212"	"212"	"1"	"0"
"6632"	"3"	"5"	"3"	"2"	"380"	"6"	"53"	"2"	"6"	"4"	"3"	"36"	"3"	"6"	"2"	"15"	"4"	"2"	"29"	"1"	"0"	"1"	"1"	"2"	"2"	"1"	"3"	"1"	"1"	"8"	"30"	"0"	"0"	"0"	"0"	"222"	"222"	"20"	"17"	"0"	"0"	"259"	"0"	"0"
"6633"	"3"	"5"	"3"	"2"	"0"	"4"	"54"	"1"	"3"	"7"	"5"	"60"	"1"	"4"	"0"	"12"	"3"	"1"	"21"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"30"	"0"	"0"	"0"	"0"	"214"	"214"	"9"	"24"	"0"	"247"	"247"	"1"	"0"
"6634"	"3"	"5"	"3"	"2"	"380"	"8"	"84"	"2"	"6"	"4"	"8"	"35"	"0"	"6"	"1"	"8"	"4"	"2"	"19"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"235"	"199"	"20"	"34"	"0"	"289"	"253"	"0"	"0"
"6635"	"3"	"5"	"3"	"2"	"380"	"11"	"75"	"0"	"2"	"5"	"3"	"48"	"0"	"7"	"2"	"13"	"3"	"7"	"20"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"1"	"4"	"28"	"0"	"0"	"0"	"0"	"236"	"236"	"15"	"31"	"0"	"282"	"282"	"1"	"0"
"6636"	"3"	"5"	"3"	"2"	"380"	"4"	"50"	"2"	"1"	"10"	"0"	"46"	"1"	"10"	"0"	"7"	"2"	"2"	"20"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"4"	"0"	"1"	"7"	"32"	"0"	"0"	"0"	"0"	"205"	"205"	"17"	"28"	"0"	"250"	"250"	"1"	"0"
"6637"	"3"	"5"	"3"	"2"	"380"	"8"	"47"	"2"	"3"	"10"	"2"	"28"	"0"	"3"	"0"	"7"	"1"	"9"	"26"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"200"	"160"	"11"	"10"	"0"	"221"	"181"	"0"	"0"
"6638"	"3"	"5"	"3"	"2"	"380"	"10"	"33"	"5"	"1"	"0"	"4"	"26"	"5"	"5"	"0"	"12"	"4"	"4"	"23"	"1"	"1"	"1"	"3"	"1"	"4"	"1"	"1"	"0"	"1"	"4"	"26"	"0"	"0"	"0"	"0"	"180"	"176"	"10"	"21"	"0"	"211"	"207"	"0"	"0"
"6639"	"3"	"5"	"3"	"2"	"0"	"5"	"50"	"1"	"4"	"4"	"1"	"42"	"0"	"7"	"0"	"4"	"1"	"3"	"29"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"2"	"1"	"3"	"30"	"0"	"0"	"0"	"0"	"193"	"193"	"11"	"16"	"0"	"220"	"220"	"1"	"0"
"6640"	"3"	"5"	"3"	"2"	"380"	"7"	"47"	"0"	"5"	"7"	"2"	"33"	"0"	"6"	"1"	"11"	"0"	"2"	"14"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"4"	"0"	"1"	"6"	"31"	"0"	"0"	"0"	"0"	"181"	"181"	"16"	"15"	"0"	"212"	"212"	"1"	"0"
