"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"VAMOS"	"FCN_NACION"	"MLP"	"TODOS"	"WINAQ"	"UNE"	"PC"	"VALOR"	"UCN"	"PODEMOS"	"BIEN"	"VIVA"	"SEMILLA"	"UNIDOS"	"CONVERGENCIA"	"PPT"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"EG"	"PAN"	"FUERZA"	"URNG_MAIZ"	"PHG"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16805"	"3"	"16"	"9"	"2"	"211"	"4"	"2"	"2"	"1"	"6"	"5"	"6"	"7"	"4"	"7"	"7"	"21"	"36"	"8"	"2"	"2"	"0"	"3"	"9"	"3"	"1"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"14"	"2"	"0"	"158"	"158"	"1"	"0"
"16806"	"3"	"16"	"9"	"2"	"210"	"2"	"7"	"3"	"1"	"6"	"3"	"5"	"12"	"3"	"3"	"2"	"16"	"23"	"2"	"0"	"2"	"1"	"3"	"8"	"3"	"0"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"6"	"7"	"4"	"123"	"123"	"1"	"0"
"16807"	"3"	"16"	"9"	"2"	"400"	"7"	"4"	"8"	"3"	"8"	"9"	"27"	"13"	"9"	"5"	"10"	"12"	"20"	"2"	"0"	"2"	"1"	"3"	"53"	"3"	"1"	"3"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"37"	"23"	"0"	"271"	"271"	"1"	"0"
"16808"	"3"	"16"	"9"	"2"	"400"	"3"	"5"	"16"	"2"	"5"	"11"	"42"	"7"	"7"	"3"	"10"	"8"	"15"	"1"	"0"	"3"	"1"	"5"	"61"	"0"	"2"	"0"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"37"	"19"	"0"	"269"	"269"	"1"	"0"
"16809"	"3"	"16"	"9"	"2"	"400"	"4"	"8"	"18"	"5"	"3"	"4"	"39"	"10"	"5"	"1"	"12"	"17"	"26"	"2"	"1"	"2"	"4"	"1"	"61"	"4"	"0"	"6"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"36"	"13"	"0"	"289"	"289"	"1"	"0"
"16810"	"3"	"16"	"9"	"2"	"400"	"0"	"8"	"16"	"2"	"3"	"7"	"32"	"0"	"6"	"3"	"8"	"29"	"28"	"5"	"0"	"3"	"1"	"2"	"54"	"1"	"1"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"218"	"26"	"18"	"44"	"274"	"262"	"0"	"0"
"16811"	"3"	"16"	"9"	"2"	"400"	"3"	"6"	"14"	"3"	"4"	"15"	"38"	"10"	"7"	"5"	"10"	"12"	"31"	"2"	"1"	"4"	"2"	"1"	"50"	"7"	"1"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"39"	"10"	"0"	"282"	"282"	"1"	"0"
"16812"	"3"	"16"	"9"	"2"	"400"	"2"	"8"	"11"	"3"	"3"	"6"	"19"	"9"	"3"	"3"	"5"	"20"	"23"	"3"	"0"	"1"	"2"	"1"	"33"	"3"	"0"	"5"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"26"	"10"	"0"	"205"	"205"	"1"	"0"
"16813"	"3"	"16"	"9"	"2"	"400"	"4"	"3"	"16"	"2"	"4"	"8"	"27"	"17"	"9"	"4"	"8"	"18"	"30"	"3"	"2"	"2"	"1"	"6"	"43"	"5"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"20"	"16"	"0"	"253"	"253"	"1"	"2"
"16814"	"3"	"16"	"9"	"2"	"400"	"2"	"4"	"9"	"3"	"4"	"12"	"30"	"14"	"5"	"3"	"8"	"12"	"32"	"4"	"0"	"0"	"2"	"0"	"61"	"7"	"1"	"3"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"42"	"15"	"0"	"279"	"279"	"1"	"0"
"16815"	"3"	"16"	"9"	"2"	"400"	"3"	"4"	"5"	"1"	"3"	"9"	"32"	"11"	"9"	"4"	"5"	"17"	"31"	"2"	"0"	"3"	"4"	"3"	"51"	"7"	"1"	"7"	"4"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"30"	"14"	"0"	"270"	"270"	"1"	"0"
"16816"	"3"	"16"	"9"	"2"	"400"	"2"	"3"	"10"	"2"	"5"	"6"	"34"	"13"	"2"	"3"	"5"	"19"	"31"	"1"	"0"	"2"	"4"	"4"	"63"	"2"	"3"	"3"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"28"	"7"	"0"	"259"	"259"	"1"	"0"
"16817"	"3"	"16"	"9"	"2"	"400"	"3"	"6"	"4"	"2"	"6"	"6"	"13"	"13"	"1"	"2"	"4"	"21"	"30"	"4"	"0"	"1"	"2"	"3"	"59"	"2"	"0"	"2"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"30"	"21"	"0"	"245"	"245"	"1"	"0"
"16818"	"3"	"16"	"9"	"2"	"403"	"6"	"14"	"11"	"5"	"2"	"10"	"21"	"14"	"5"	"2"	"6"	"10"	"21"	"3"	"0"	"2"	"0"	"2"	"30"	"4"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"38"	"12"	"0"	"225"	"225"	"1"	"0"
