"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"AVANZA"	"UNE"	"VIVA"	"VALOR"	"WINAQ"	"TODOS"	"CREO"	"UCN"	"PAN"	"FCN_NACION"	"UNIDOS"	"VICTORIA"	"BIEN"	"SEMILLA"	"PHG"	"UNIONISTA"	"PC"	"MLP"	"EG"	"FUERZA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7652"	"3"	"6"	"8"	"2"	"464"	"5"	"0"	"10"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"5"	"1"	"1"	"1"	"1"	"3"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"43"	"43"	"8"	"3"	"0"	"54"	"54"	"1"	"0"
"7653"	"3"	"6"	"8"	"2"	"463"	"0"	"0"	"3"	"0"	"3"	"1"	"0"	"0"	"4"	"0"	"2"	"0"	"1"	"1"	"2"	"6"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	"26"	"3"	"3"	"0"	"32"	"32"	"1"	"0"
"7654"	"3"	"6"	"9"	"2"	"400"	"2"	"1"	"79"	"5"	"4"	"2"	"3"	"4"	"43"	"6"	"18"	"4"	"0"	"9"	"7"	"16"	"1"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"23"	"0"	"253"	"253"	"1"	"0"
"7655"	"3"	"6"	"9"	"2"	"400"	"5"	"0"	"64"	"5"	"3"	"0"	"1"	"2"	"63"	"8"	"23"	"0"	"1"	"3"	"5"	"14"	"0"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"18"	"28"	"0"	"255"	"255"	"1"	"0"
"7656"	"3"	"6"	"9"	"2"	"400"	"5"	"2"	"83"	"7"	"0"	"2"	"2"	"1"	"60"	"7"	"11"	"0"	"2"	"4"	"6"	"27"	"4"	"9"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"18"	"0"	"274"	"274"	"1"	"0"
"7657"	"3"	"6"	"9"	"2"	"400"	"8"	"0"	"84"	"3"	"2"	"5"	"4"	"1"	"69"	"2"	"19"	"2"	"1"	"4"	"5"	"19"	"3"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"23"	"0"	"274"	"274"	"1"	"0"
"7658"	"3"	"6"	"9"	"2"	"400"	"2"	"1"	"102"	"2"	"4"	"3"	"0"	"1"	"65"	"1"	"16"	"2"	"1"	"7"	"3"	"20"	"2"	"7"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"19"	"21"	"0"	"287"	"287"	"1"	"0"
"7659"	"3"	"6"	"9"	"2"	"405"	"3"	"5"	"72"	"10"	"1"	"6"	"2"	"5"	"62"	"6"	"17"	"1"	"1"	"9"	"3"	"21"	"1"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"27"	"21"	"1"	"282"	"282"	"1"	"0"
"7660"	"3"	"6"	"9"	"2"	"400"	"0"	"0"	"81"	"4"	"3"	"5"	"2"	"1"	"74"	"3"	"18"	"0"	"1"	"4"	"0"	"22"	"1"	"8"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"22"	"21"	"0"	"275"	"275"	"1"	"0"
"7661"	"3"	"6"	"9"	"2"	"402"	"7"	"3"	"79"	"6"	"4"	"5"	"2"	"2"	"71"	"5"	"18"	"0"	"0"	"5"	"2"	"18"	"0"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"17"	"29"	"0"	"282"	"282"	"1"	"0"
"7662"	"3"	"6"	"9"	"2"	"400"	"3"	"0"	"101"	"3"	"2"	"6"	"3"	"1"	"66"	"3"	"15"	"1"	"0"	"4"	"7"	"26"	"3"	"4"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"20"	"25"	"1"	"304"	"303"	"0"	"0"
"7663"	"3"	"6"	"9"	"2"	"400"	"4"	"3"	"75"	"1"	"2"	"2"	"4"	"1"	"76"	"11"	"13"	"0"	"3"	"9"	"10"	"30"	"6"	"10"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"14"	"17"	"1"	"301"	"301"	"1"	"0"
"7664"	"3"	"6"	"9"	"2"	"400"	"5"	"3"	"84"	"3"	"2"	"3"	"2"	"3"	"67"	"2"	"18"	"0"	"1"	"3"	"5"	"29"	"6"	"9"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"10"	"0"	"270"	"270"	"1"	"0"
"7665"	"3"	"6"	"9"	"2"	"400"	"3"	"1"	"80"	"3"	"3"	"6"	"1"	"1"	"58"	"1"	"16"	"0"	"0"	"6"	"6"	"21"	"2"	"11"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"10"	"0"	"248"	"248"	"1"	"0"
"7666"	"3"	"6"	"9"	"2"	"399"	"3"	"2"	"90"	"4"	"2"	"4"	"2"	"2"	"53"	"2"	"19"	"0"	"0"	"5"	"4"	"20"	"2"	"8"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"17"	"16"	"0"	"264"	"264"	"1"	"0"
"7667"	"3"	"6"	"9"	"2"	"400"	"4"	"0"	"80"	"7"	"0"	"5"	"1"	"4"	"53"	"4"	"11"	"2"	"1"	"6"	"2"	"25"	"2"	"8"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"16"	"12"	"0"	"252"	"252"	"1"	"0"
"7668"	"3"	"6"	"9"	"2"	"400"	"6"	"0"	"77"	"7"	"2"	"5"	"3"	"3"	"60"	"2"	"12"	"0"	"1"	"10"	"6"	"19"	"1"	"5"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"15"	"22"	"0"	"260"	"260"	"1"	"0"
"7669"	"3"	"6"	"9"	"2"	"400"	"5"	"0"	"56"	"7"	"5"	"5"	"1"	"2"	"61"	"8"	"7"	"0"	"1"	"6"	"9"	"30"	"1"	"15"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"23"	"0"	"265"	"265"	"1"	"0"
"7670"	"3"	"6"	"9"	"2"	"400"	"7"	"1"	"74"	"5"	"5"	"3"	"1"	"3"	"61"	"6"	"7"	"0"	"0"	"6"	"4"	"28"	"3"	"7"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"19"	"0"	"261"	"261"	"1"	"0"
"7671"	"3"	"6"	"9"	"2"	"400"	"5"	"2"	"78"	"0"	"2"	"0"	"1"	"2"	"54"	"2"	"16"	"1"	"1"	"10"	"3"	"15"	"4"	"10"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"15"	"20"	"7"	"246"	"246"	"1"	"0"
"7672"	"3"	"6"	"9"	"2"	"400"	"2"	"4"	"87"	"4"	"4"	"7"	"1"	"5"	"50"	"4"	"9"	"1"	"1"	"4"	"3"	"16"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"16"	"17"	"0"	"241"	"241"	"1"	"0"
"7673"	"3"	"6"	"9"	"2"	"400"	"5"	"3"	"80"	"7"	"1"	"1"	"1"	"1"	"54"	"2"	"8"	"1"	"0"	"4"	"2"	"17"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"13"	"27"	"0"	"231"	"231"	"1"	"0"
"7674"	"3"	"6"	"9"	"2"	"399"	"5"	"1"	"81"	"4"	"1"	"2"	"1"	"2"	"57"	"6"	"8"	"4"	"0"	"4"	"2"	"16"	"0"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"14"	"29"	"0"	"250"	"250"	"1"	"0"
"7675"	"3"	"6"	"9"	"2"	"400"	"9"	"0"	"107"	"5"	"0"	"2"	"3"	"2"	"63"	"3"	"20"	"1"	"0"	"5"	"4"	"20"	"0"	"12"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"8"	"21"	"0"	"290"	"290"	"1"	"0"
"7676"	"3"	"6"	"9"	"2"	"400"	"6"	"1"	"99"	"3"	"0"	"2"	"0"	"2"	"83"	"6"	"22"	"0"	"1"	"4"	"2"	"30"	"0"	"29"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"7"	"15"	"3"	"316"	"316"	"1"	"0"
"7677"	"3"	"6"	"9"	"2"	"239"	"2"	"0"	"67"	"3"	"0"	"1"	"2"	"1"	"61"	"4"	"7"	"0"	"0"	"2"	"2"	"8"	"0"	"11"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"7"	"5"	"0"	"189"	"189"	"1"	"0"
"7678"	"3"	"6"	"9"	"2"	"236"	"2"	"0"	"56"	"0"	"2"	"2"	"0"	"0"	"27"	"2"	"5"	"0"	"1"	"2"	"3"	"8"	"3"	"10"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"6"	"9"	"0"	"141"	"141"	"1"	"0"
"7679"	"3"	"6"	"9"	"2"	"380"	"4"	"2"	"150"	"12"	"6"	"1"	"12"	"3"	"23"	"5"	"7"	"4"	"0"	"1"	"1"	"5"	"1"	"16"	"19"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"12"	"23"	"0"	"309"	"309"	"1"	"0"
"7680"	"3"	"6"	"9"	"2"	"380"	"5"	"6"	"135"	"5"	"4"	"6"	"8"	"1"	"41"	"6"	"5"	"2"	"2"	"2"	"3"	"7"	"0"	"19"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"17"	"17"	"0"	"311"	"311"	"1"	"0"
"7681"	"3"	"6"	"9"	"2"	"380"	"3"	"1"	"149"	"3"	"0"	"0"	"6"	"2"	"41"	"4"	"6"	"0"	"0"	"1"	"2"	"6"	"0"	"26"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"39"	"0"	"314"	"314"	"1"	"0"
"7682"	"3"	"6"	"9"	"2"	"380"	"1"	"1"	"161"	"10"	"1"	"0"	"3"	"2"	"34"	"4"	"9"	"2"	"1"	"6"	"4"	"4"	"1"	"17"	"9"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"9"	"12"	"0"	"296"	"296"	"1"	"0"
