"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"BIEN"	"CREO"	"UNIONISTA"	"FUERZA"	"VALOR"	"WINAQ"	"FCN_NACION"	"VAMOS"	"EG"	"UNIDOS"	"SEMILLA"	"TODOS"	"CONVERGENCIA"	"PHG"	"PAN"	"PODEMOS"	"URNG_MAIZ"	"AVANZA"	"VIVA"	"MLP"	"PC"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18060"	"3"	"17"	"10"	"2"	"316"	"14"	"1"	"10"	"15"	"4"	"2"	"1"	"1"	"14"	"7"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"5"	"6"	"0"	"19"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"18"	"27"	"0"	"152"	"152"	"1"	"0"
"18061"	"3"	"17"	"10"	"2"	"315"	"16"	"0"	"9"	"26"	"0"	"2"	"0"	"0"	"17"	"9"	"2"	"2"	"5"	"1"	"0"	"2"	"1"	"5"	"10"	"0"	"8"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"8"	"23"	"0"	"155"	"155"	"1"	"0"
"18062"	"3"	"17"	"10"	"2"	"380"	"73"	"3"	"6"	"48"	"1"	"16"	"1"	"1"	"1"	"3"	"3"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"6"	"1"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"33"	"44"	"0"	"259"	"259"	"1"	"0"
"18063"	"3"	"17"	"10"	"2"	"380"	"94"	"0"	"10"	"43"	"0"	"20"	"0"	"5"	"1"	"4"	"0"	"3"	"8"	"2"	"2"	"1"	"1"	"0"	"4"	"1"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"22"	"39"	"0"	"277"	"277"	"1"	"0"
"18064"	"3"	"17"	"10"	"2"	"380"	"85"	"2"	"23"	"35"	"1"	"17"	"0"	"3"	"3"	"6"	"1"	"2"	"6"	"0"	"0"	"1"	"1"	"0"	"8"	"1"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"11"	"37"	"0"	"264"	"264"	"1"	"0"
"18065"	"3"	"17"	"10"	"2"	"380"	"90"	"0"	"3"	"29"	"4"	"21"	"5"	"5"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"5"	"4"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"28"	"32"	"0"	"248"	"248"	"1"	"0"
"18066"	"3"	"17"	"10"	"2"	"383"	"82"	"1"	"8"	"33"	"0"	"25"	"0"	"2"	"0"	"3"	"0"	"1"	"1"	"2"	"1"	"3"	"2"	"0"	"4"	"3"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"15"	"42"	"0"	"236"	"236"	"1"	"0"
"18067"	"3"	"17"	"10"	"2"	"348"	"69"	"0"	"16"	"27"	"1"	"13"	"1"	"1"	"1"	"1"	"3"	"0"	"5"	"3"	"1"	"1"	"2"	"0"	"5"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"26"	"36"	"0"	"222"	"222"	"1"	"0"
"18068"	"3"	"17"	"10"	"2"	"350"	"74"	"2"	"16"	"50"	"0"	"30"	"0"	"2"	"3"	"3"	"0"	"0"	"4"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"11"	"33"	"0"	"247"	"247"	"1"	"0"
"18069"	"3"	"17"	"10"	"2"	"380"	"43"	"0"	"5"	"25"	"2"	"1"	"1"	"3"	"0"	"7"	"2"	"1"	"11"	"2"	"0"	"0"	"5"	"0"	"4"	"3"	"39"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"11"	"39"	"0"	"206"	"206"	"1"	"0"
"18070"	"3"	"17"	"10"	"2"	"349"	"30"	"1"	"7"	"33"	"3"	"3"	"0"	"0"	"1"	"5"	"1"	"1"	"7"	"0"	"1"	"1"	"1"	"0"	"6"	"1"	"28"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"16"	"30"	"0"	"179"	"179"	"1"	"0"
"18071"	"3"	"17"	"10"	"2"	"348"	"27"	"2"	"11"	"37"	"3"	"1"	"1"	"0"	"1"	"11"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"14"	"20"	"0"	"166"	"166"	"1"	"0"
"18072"	"3"	"17"	"10"	"2"	"600"	"25"	"2"	"6"	"16"	"6"	"1"	"0"	"1"	"1"	"6"	"1"	"0"	"5"	"0"	"1"	"3"	"3"	"0"	"3"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"89"	"89"	"15"	"28"	"0"	"132"	"132"	"1"	"0"
"18073"	"3"	"17"	"10"	"2"	"546"	"21"	"1"	"3"	"8"	"1"	"1"	"1"	"1"	"1"	"5"	"0"	"0"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"16"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"9"	"10"	"3"	"91"	"91"	"1"	"0"
"18074"	"3"	"17"	"10"	"2"	"549"	"4"	"1"	"4"	"11"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"2"	"7"	"1"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"48"	"6"	"15"	"0"	"69"	"69"	"1"	"0"
"18075"	"3"	"17"	"11"	"2"	"400"	"53"	"9"	"27"	"14"	"5"	"18"	"0"	"1"	"14"	"14"	"0"	"0"	"18"	"0"	"0"	"2"	"0"	"1"	"3"	"3"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"16"	"20"	"0"	"230"	"230"	"1"	"0"
"18076"	"3"	"17"	"11"	"2"	"400"	"54"	"10"	"21"	"26"	"4"	"16"	"0"	"0"	"8"	"14"	"1"	"0"	"25"	"0"	"0"	"3"	"0"	"3"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"23"	"24"	"0"	"238"	"238"	"1"	"0"
"18077"	"3"	"17"	"11"	"2"	"400"	"53"	"10"	"28"	"23"	"4"	"20"	"1"	"2"	"14"	"18"	"1"	"1"	"16"	"0"	"5"	"1"	"1"	"1"	"2"	"0"	"5"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"21"	"24"	"0"	"259"	"259"	"1"	"0"
