"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"BIEN"	"CREO"	"UNIONISTA"	"FUERZA"	"VALOR"	"WINAQ"	"FCN_NACION"	"VAMOS"	"EG"	"UNIDOS"	"SEMILLA"	"TODOS"	"CONVERGENCIA"	"PHG"	"PAN"	"PODEMOS"	"URNG_MAIZ"	"AVANZA"	"VIVA"	"MLP"	"PC"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17540"	"3"	"17"	"1"	"2"	"380"	"26"	"2"	"9"	"39"	"7"	"8"	"2"	"3"	"2"	"50"	"0"	"1"	"7"	"2"	"1"	"10"	"3"	"4"	"3"	"2"	"15"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"16"	"11"	"0"	"235"	"235"	"1"	"0"
"17541"	"3"	"17"	"1"	"2"	"285"	"27"	"3"	"10"	"26"	"7"	"7"	"0"	"1"	"2"	"54"	"0"	"0"	"7"	"3"	"0"	"10"	"0"	"1"	"4"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"12"	"9"	"0"	"189"	"189"	"1"	"0"
"17542"	"3"	"17"	"1"	"2"	"284"	"17"	"1"	"8"	"14"	"2"	"3"	"3"	"3"	"2"	"33"	"0"	"0"	"2"	"0"	"1"	"4"	"2"	"0"	"1"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"7"	"6"	"0"	"118"	"118"	"1"	"0"
"17543"	"3"	"17"	"1"	"2"	"380"	"50"	"1"	"8"	"25"	"1"	"6"	"3"	"1"	"0"	"68"	"1"	"0"	"4"	"2"	"3"	"3"	"2"	"3"	"3"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"25"	"24"	"0"	"240"	"240"	"1"	"0"
"17544"	"3"	"17"	"1"	"2"	"380"	"40"	"1"	"11"	"24"	"3"	"4"	"5"	"2"	"2"	"56"	"2"	"0"	"6"	"2"	"1"	"4"	"7"	"0"	"3"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"24"	"20"	"0"	"223"	"223"	"1"	"0"
"17545"	"3"	"17"	"1"	"2"	"377"	"37"	"2"	"8"	"23"	"3"	"7"	"0"	"2"	"1"	"66"	"0"	"0"	"2"	"0"	"7"	"2"	"3"	"5"	"2"	"2"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"18"	"26"	"0"	"222"	"222"	"1"	"0"
"17546"	"3"	"17"	"1"	"2"	"380"	"39"	"0"	"15"	"17"	"0"	"11"	"2"	"1"	"1"	"57"	"0"	"0"	"5"	"2"	"4"	"1"	"2"	"4"	"2"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"9"	"16"	"25"	"196"	"196"	"1"	"0"
"17547"	"3"	"17"	"1"	"2"	"380"	"57"	"2"	"16"	"23"	"1"	"5"	"1"	"0"	"0"	"70"	"0"	"0"	"5"	"1"	"2"	"2"	"2"	"7"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"13"	"21"	"0"	"233"	"233"	"1"	"0"
"17548"	"3"	"17"	"1"	"2"	"380"	"46"	"4"	"8"	"24"	"1"	"7"	"1"	"1"	"3"	"78"	"0"	"0"	"2"	"2"	"3"	"2"	"2"	"5"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"19"	"20"	"0"	"233"	"233"	"1"	"0"
"17549"	"3"	"17"	"1"	"2"	"380"	"71"	"0"	"6"	"18"	"0"	"5"	"1"	"0"	"0"	"54"	"0"	"1"	"1"	"2"	"1"	"1"	"4"	"4"	"2"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"19"	"20"	"0"	"216"	"216"	"1"	"0"
"17550"	"3"	"17"	"1"	"2"	"380"	"44"	"1"	"9"	"21"	"1"	"3"	"0"	"0"	"0"	"48"	"0"	"0"	"6"	"3"	"0"	"3"	"1"	"6"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"13"	"20"	"0"	"184"	"184"	"1"	"0"
"17551"	"3"	"17"	"1"	"2"	"302"	"30"	"1"	"9"	"14"	"1"	"4"	"3"	"1"	"0"	"57"	"1"	"0"	"11"	"0"	"3"	"3"	"0"	"6"	"0"	"3"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"5"	"9"	"0"	"166"	"166"	"1"	"0"
"17552"	"3"	"17"	"1"	"2"	"301"	"44"	"0"	"11"	"25"	"0"	"1"	"0"	"0"	"1"	"60"	"0"	"0"	"0"	"1"	"2"	"3"	"2"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"4"	"13"	"0"	"172"	"172"	"1"	"0"
"17553"	"3"	"17"	"1"	"2"	"380"	"64"	"3"	"5"	"40"	"3"	"4"	"1"	"2"	"2"	"56"	"0"	"1"	"1"	"1"	"3"	"4"	"2"	"1"	"2"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"26"	"25"	"1"	"255"	"255"	"1"	"1"
"17554"	"3"	"17"	"1"	"2"	"380"	"54"	"2"	"4"	"33"	"2"	"4"	"1"	"1"	"3"	"58"	"0"	"0"	"8"	"3"	"5"	"2"	"2"	"0"	"3"	"4"	"9"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"24"	"21"	"1"	"253"	"253"	"1"	"0"
"17555"	"3"	"17"	"1"	"2"	"379"	"36"	"1"	"6"	"35"	"1"	"2"	"2"	"2"	"2"	"53"	"0"	"0"	"11"	"4"	"2"	"3"	"3"	"4"	"3"	"1"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"20"	"23"	"2"	"233"	"233"	"1"	"0"
"17556"	"3"	"17"	"1"	"2"	"377"	"55"	"1"	"3"	"51"	"3"	"4"	"1"	"0"	"1"	"49"	"1"	"1"	"11"	"0"	"6"	"3"	"4"	"1"	"4"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"30"	"16"	"0"	"251"	"251"	"1"	"0"
"17557"	"3"	"17"	"1"	"2"	"380"	"65"	"1"	"3"	"32"	"3"	"7"	"2"	"1"	"1"	"54"	"0"	"1"	"4"	"0"	"4"	"1"	"4"	"6"	"3"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"27"	"21"	"1"	"251"	"251"	"1"	"1"
"17558"	"3"	"17"	"1"	"2"	"380"	"65"	"0"	"4"	"42"	"5"	"5"	"1"	"0"	"0"	"58"	"0"	"0"	"8"	"0"	"3"	"2"	"0"	"6"	"4"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"23"	"28"	"0"	"262"	"262"	"1"	"0"
"17559"	"3"	"17"	"1"	"2"	"380"	"51"	"0"	"2"	"34"	"2"	"3"	"1"	"0"	"2"	"64"	"0"	"0"	"7"	"3"	"2"	"1"	"6"	"4"	"5"	"0"	"3"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"10"	"33"	"5"	"243"	"243"	"1"	"0"
"17560"	"3"	"17"	"1"	"2"	"380"	"35"	"0"	"2"	"39"	"7"	"4"	"1"	"0"	"2"	"49"	"0"	"0"	"2"	"1"	"5"	"2"	"2"	"4"	"2"	"0"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"20"	"24"	"0"	"217"	"217"	"1"	"0"
"17561"	"3"	"17"	"1"	"2"	"374"	"50"	"0"	"3"	"39"	"3"	"2"	"1"	"0"	"3"	"37"	"0"	"0"	"9"	"0"	"7"	"3"	"4"	"0"	"3"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"17"	"11"	"28"	"199"	"199"	"1"	"0"
"17562"	"3"	"17"	"1"	"2"	"380"	"63"	"0"	"2"	"50"	"4"	"1"	"1"	"0"	"3"	"57"	"0"	"0"	"6"	"3"	"4"	"2"	"2"	"4"	"0"	"4"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"3"	"16"	"0"	"235"	"235"	"1"	"0"
"17563"	"3"	"17"	"1"	"2"	"273"	"44"	"3"	"1"	"41"	"5"	"5"	"2"	"0"	"4"	"67"	"0"	"0"	"6"	"1"	"1"	"1"	"0"	"4"	"0"	"1"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"6"	"5"	"0"	"207"	"207"	"1"	"0"
"17564"	"3"	"17"	"1"	"2"	"273"	"52"	"0"	"4"	"28"	"1"	"2"	"2"	"0"	"1"	"44"	"0"	"0"	"5"	"0"	"0"	"1"	"4"	"2"	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"8"	"16"	"0"	"178"	"178"	"1"	"0"
"17565"	"3"	"17"	"1"	"2"	"233"	"11"	"0"	"5"	"2"	"0"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"30"	"3"	"1"	"0"	"34"	"34"	"1"	"0"
"17566"	"3"	"17"	"1"	"2"	"233"	"11"	"0"	"2"	"5"	"0"	"0"	"2"	"0"	"0"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"30"	"4"	"3"	"0"	"37"	"37"	"1"	"0"
"17567"	"3"	"17"	"1"	"2"	"176"	"24"	"0"	"11"	"4"	"1"	"1"	"2"	"1"	"1"	"27"	"0"	"0"	"1"	"0"	"2"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"14"	"15"	"0"	"110"	"110"	"1"	"0"
"17568"	"3"	"17"	"1"	"2"	"600"	"26"	"3"	"7"	"32"	"2"	"11"	"3"	"4"	"1"	"36"	"1"	"0"	"14"	"0"	"6"	"6"	"1"	"2"	"4"	"0"	"10"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"25"	"10"	"0"	"213"	"213"	"1"	"0"
"17569"	"3"	"17"	"1"	"2"	"600"	"44"	"1"	"4"	"39"	"6"	"9"	"4"	"2"	"0"	"43"	"0"	"0"	"17"	"6"	"2"	"7"	"3"	"0"	"4"	"1"	"10"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"23"	"8"	"3"	"246"	"246"	"1"	"0"
"17570"	"3"	"17"	"1"	"2"	"357"	"23"	"0"	"3"	"10"	"7"	"1"	"3"	"1"	"6"	"14"	"0"	"0"	"13"	"4"	"1"	"1"	"1"	"2"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"18"	"8"	"0"	"124"	"124"	"1"	"0"
"17571"	"3"	"17"	"1"	"2"	"357"	"13"	"0"	"3"	"12"	"0"	"1"	"1"	"1"	"1"	"9"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"56"	"56"	"2"	"5"	"0"	"63"	"63"	"1"	"0"
"17572"	"3"	"17"	"2"	"2"	"400"	"34"	"2"	"11"	"10"	"7"	"2"	"0"	"20"	"65"	"20"	"2"	"0"	"6"	"6"	"1"	"5"	"3"	"0"	"6"	"1"	"10"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"24"	"55"	"0"	"313"	"313"	"1"	"0"
"17573"	"3"	"17"	"2"	"2"	"400"	"31"	"1"	"20"	"12"	"11"	"3"	"1"	"20"	"67"	"26"	"1"	"0"	"9"	"3"	"3"	"4"	"4"	"3"	"7"	"2"	"9"	"12"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"25"	"57"	"0"	"339"	"339"	"1"	"0"
"17574"	"3"	"17"	"2"	"2"	"400"	"17"	"1"	"23"	"17"	"3"	"1"	"1"	"15"	"74"	"14"	"1"	"2"	"12"	"4"	"2"	"1"	"0"	"1"	"2"	"4"	"5"	"9"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"16"	"62"	"3"	"306"	"306"	"1"	"0"
"17575"	"3"	"17"	"2"	"2"	"400"	"21"	"4"	"15"	"7"	"8"	"0"	"3"	"20"	"71"	"9"	"0"	"0"	"3"	"3"	"1"	"4"	"1"	"1"	"3"	"1"	"5"	"8"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"36"	"51"	"0"	"287"	"287"	"1"	"0"
"17576"	"3"	"17"	"2"	"2"	"397"	"16"	"0"	"21"	"13"	"9"	"0"	"2"	"15"	"72"	"17"	"1"	"0"	"6"	"4"	"0"	"1"	"1"	"0"	"4"	"1"	"5"	"8"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"25"	"59"	"0"	"295"	"295"	"1"	"0"
"17577"	"3"	"17"	"2"	"2"	"292"	"17"	"1"	"17"	"4"	"7"	"1"	"1"	"17"	"56"	"11"	"0"	"0"	"4"	"6"	"0"	"4"	"1"	"1"	"4"	"2"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"11"	"25"	"0"	"202"	"202"	"1"	"0"
"17578"	"3"	"17"	"2"	"2"	"291"	"15"	"4"	"21"	"9"	"16"	"1"	"1"	"10"	"75"	"7"	"3"	"0"	"1"	"2"	"0"	"5"	"1"	"0"	"3"	"2"	"3"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"12"	"25"	"0"	"228"	"228"	"1"	"0"
"17579"	"3"	"17"	"2"	"2"	"380"	"45"	"1"	"14"	"13"	"5"	"0"	"0"	"3"	"59"	"10"	"1"	"0"	"3"	"3"	"1"	"2"	"0"	"0"	"6"	"2"	"7"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"19"	"97"	"0"	"309"	"309"	"1"	"0"
"17580"	"3"	"17"	"2"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17581"	"3"	"17"	"2"	"2"	"380"	"37"	"1"	"8"	"8"	"2"	"1"	"2"	"1"	"75"	"12"	"0"	"0"	"1"	"6"	"1"	"7"	"4"	"2"	"6"	"2"	"7"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"16"	"54"	"0"	"271"	"271"	"1"	"0"
"17582"	"3"	"17"	"2"	"2"	"284"	"37"	"1"	"8"	"15"	"9"	"3"	"0"	"2"	"54"	"7"	"2"	"0"	"2"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"6"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"10"	"50"	"0"	"220"	"220"	"1"	"0"
"17583"	"3"	"17"	"2"	"2"	"283"	"33"	"1"	"9"	"24"	"10"	"1"	"1"	"1"	"66"	"12"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"9"	"34"	"0"	"217"	"217"	"1"	"0"
"17584"	"3"	"17"	"3"	"2"	"400"	"43"	"1"	"39"	"19"	"3"	"4"	"1"	"15"	"7"	"13"	"1"	"0"	"10"	"1"	"0"	"17"	"4"	"6"	"7"	"3"	"10"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"21"	"25"	"0"	"259"	"259"	"1"	"0"
"17585"	"3"	"17"	"3"	"2"	"408"	"44"	"0"	"35"	"12"	"4"	"2"	"7"	"8"	"13"	"24"	"0"	"0"	"5"	"5"	"0"	"14"	"6"	"0"	"5"	"9"	"13"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"21"	"20"	"0"	"253"	"253"	"1"	"0"
"17586"	"3"	"17"	"3"	"2"	"400"	"47"	"2"	"36"	"16"	"1"	"2"	"3"	"5"	"11"	"19"	"0"	"0"	"9"	"6"	"0"	"16"	"2"	"7"	"5"	"8"	"0"	"0"	"9"	"6"	"0"	"16"	"2"	"7"	"5"	"8"	"218"	"211"	"17"	"22"	"0"	"257"	"250"	"0"	"0"
"17587"	"3"	"17"	"3"	"2"	"400"	"57"	"1"	"38"	"9"	"7"	"5"	"3"	"11"	"6"	"16"	"0"	"0"	"9"	"4"	"0"	"8"	"5"	"7"	"6"	"11"	"8"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"6"	"25"	"18"	"252"	"252"	"1"	"0"
"17588"	"3"	"17"	"3"	"2"	"400"	"55"	"1"	"36"	"14"	"19"	"7"	"4"	"8"	"6"	"9"	"1"	"0"	"6"	"10"	"0"	"4"	"2"	"7"	"5"	"18"	"6"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"14"	"30"	"0"	"272"	"272"	"1"	"0"
"17589"	"3"	"17"	"3"	"2"	"400"	"49"	"2"	"22"	"17"	"10"	"4"	"4"	"8"	"7"	"14"	"0"	"1"	"13"	"6"	"0"	"20"	"2"	"10"	"2"	"15"	"14"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"15"	"21"	"0"	"269"	"269"	"1"	"0"
"17590"	"3"	"17"	"3"	"2"	"400"	"43"	"1"	"46"	"18"	"9"	"8"	"4"	"14"	"11"	"15"	"1"	"1"	"11"	"7"	"0"	"17"	"0"	"5"	"6"	"9"	"1"	"1"	"11"	"7"	"0"	"17"	"0"	"5"	"6"	"9"	"239"	"239"	"30"	"27"	"0"	"296"	"296"	"1"	"0"
"17591"	"3"	"17"	"3"	"2"	"398"	"47"	"3"	"45"	"17"	"7"	"6"	"3"	"9"	"7"	"14"	"0"	"0"	"16"	"11"	"1"	"10"	"4"	"5"	"2"	"14"	"13"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"22"	"26"	"0"	"298"	"298"	"1"	"0"
"17592"	"3"	"17"	"3"	"2"	"400"	"53"	"3"	"33"	"14"	"6"	"9"	"3"	"16"	"8"	"13"	"2"	"0"	"11"	"4"	"1"	"6"	"3"	"5"	"2"	"10"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"25"	"22"	"0"	"263"	"263"	"1"	"0"
"17593"	"3"	"17"	"3"	"2"	"400"	"43"	"3"	"48"	"17"	"2"	"2"	"1"	"12"	"12"	"20"	"0"	"0"	"13"	"10"	"0"	"12"	"5"	"4"	"4"	"9"	"0"	"0"	"13"	"10"	"0"	"12"	"5"	"4"	"4"	"9"	"231"	"231"	"25"	"21"	"0"	"277"	"277"	"1"	"0"
"17594"	"3"	"17"	"3"	"2"	"400"	"46"	"3"	"34"	"13"	"9"	"7"	"4"	"15"	"11"	"11"	"2"	"0"	"12"	"11"	"0"	"16"	"2"	"4"	"3"	"10"	"11"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"38"	"13"	"0"	"292"	"292"	"1"	"0"
"17595"	"3"	"17"	"3"	"2"	"400"	"53"	"0"	"35"	"18"	"8"	"7"	"6"	"21"	"17"	"19"	"0"	"0"	"13"	"2"	"1"	"7"	"4"	"2"	"5"	"5"	"6"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"22"	"23"	"0"	"285"	"285"	"1"	"0"
"17596"	"3"	"17"	"3"	"2"	"400"	"48"	"4"	"50"	"19"	"8"	"8"	"3"	"11"	"11"	"13"	"0"	"1"	"13"	"4"	"0"	"15"	"5"	"1"	"7"	"6"	"8"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"31"	"15"	"0"	"294"	"294"	"1"	"0"
"17597"	"3"	"17"	"3"	"2"	"400"	"43"	"3"	"38"	"16"	"7"	"3"	"1"	"17"	"15"	"16"	"0"	"0"	"14"	"8"	"1"	"20"	"0"	"4"	"2"	"8"	"5"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"38"	"21"	"0"	"289"	"289"	"1"	"0"
"17598"	"3"	"17"	"3"	"2"	"400"	"38"	"1"	"45"	"12"	"3"	"7"	"0"	"14"	"15"	"16"	"0"	"0"	"11"	"5"	"2"	"20"	"2"	"3"	"4"	"7"	"11"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"19"	"24"	"0"	"263"	"263"	"1"	"0"
"17599"	"3"	"17"	"3"	"2"	"400"	"33"	"1"	"31"	"17"	"5"	"5"	"3"	"11"	"5"	"16"	"0"	"0"	"3"	"1"	"10"	"3"	"14"	"2"	"13"	"13"	"8"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"205"	"23"	"11"	"0"	"237"	"239"	"0"	"0"
"17600"	"3"	"17"	"3"	"2"	"400"	"26"	"2"	"30"	"23"	"3"	"5"	"1"	"13"	"10"	"18"	"0"	"0"	"13"	"4"	"0"	"12"	"2"	"3"	"5"	"10"	"11"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"14"	"16"	"0"	"227"	"227"	"1"	"0"
"17601"	"3"	"17"	"3"	"2"	"400"	"48"	"5"	"35"	"24"	"1"	"2"	"1"	"19"	"9"	"16"	"0"	"0"	"16"	"2"	"0"	"15"	"1"	"9"	"2"	"2"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"221"	"20"	"20"	"40"	"262"	"261"	"0"	"0"
"17602"	"3"	"17"	"3"	"2"	"400"	"27"	"2"	"37"	"12"	"3"	"6"	"1"	"9"	"7"	"11"	"0"	"0"	"13"	"4"	"1"	"23"	"3"	"9"	"1"	"7"	"8"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"20"	"13"	"0"	"225"	"225"	"1"	"0"
"17603"	"3"	"17"	"3"	"2"	"400"	"45"	"2"	"42"	"21"	"2"	"2"	"2"	"10"	"12"	"20"	"0"	"1"	"12"	"3"	"1"	"13"	"5"	"9"	"2"	"6"	"7"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"18"	"16"	"0"	"259"	"259"	"1"	"0"
"17604"	"3"	"17"	"3"	"2"	"400"	"47"	"1"	"39"	"22"	"3"	"2"	"1"	"12"	"8"	"17"	"0"	"0"	"10"	"7"	"0"	"11"	"3"	"7"	"5"	"1"	"13"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"26"	"20"	"0"	"262"	"262"	"1"	"0"
"17605"	"3"	"17"	"3"	"2"	"400"	"45"	"3"	"29"	"13"	"5"	"3"	"5"	"9"	"6"	"28"	"0"	"0"	"11"	"6"	"0"	"15"	"2"	"10"	"1"	"7"	"16"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"20"	"13"	"0"	"264"	"264"	"1"	"0"
"17606"	"3"	"17"	"3"	"2"	"400"	"43"	"0"	"32"	"17"	"2"	"6"	"0"	"15"	"12"	"10"	"0"	"1"	"12"	"3"	"0"	"17"	"4"	"6"	"4"	"10"	"6"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"29"	"23"	"0"	"262"	"262"	"1"	"0"
"17607"	"3"	"17"	"3"	"2"	"400"	"46"	"1"	"30"	"12"	"7"	"5"	"3"	"16"	"11"	"24"	"0"	"2"	"12"	"8"	"0"	"21"	"3"	"3"	"3"	"7"	"9"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"15"	"21"	"0"	"270"	"270"	"1"	"0"
"17608"	"3"	"17"	"3"	"2"	"400"	"29"	"4"	"40"	"12"	"5"	"5"	"3"	"10"	"7"	"20"	"2"	"1"	"17"	"3"	"1"	"15"	"0"	"9"	"3"	"8"	"2"	"1"	"17"	"3"	"1"	"15"	"0"	"9"	"3"	"8"	"215"	"215"	"24"	"14"	"0"	"253"	"253"	"1"	"0"
"17609"	"3"	"17"	"3"	"2"	"400"	"44"	"3"	"34"	"24"	"3"	"6"	"0"	"13"	"0"	"14"	"1"	"0"	"14"	"7"	"1"	"16"	"4"	"6"	"3"	"4"	"10"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"219"	"21"	"16"	"0"	"261"	"256"	"0"	"0"
"17610"	"3"	"17"	"3"	"2"	"400"	"37"	"3"	"36"	"14"	"9"	"3"	"5"	"13"	"6"	"18"	"0"	"0"	"6"	"4"	"1"	"17"	"4"	"6"	"4"	"7"	"14"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"27"	"28"	"1"	"273"	"273"	"1"	"0"
"17611"	"3"	"17"	"3"	"2"	"407"	"37"	"1"	"35"	"13"	"5"	"1"	"1"	"17"	"7"	"19"	"0"	"0"	"9"	"6"	"0"	"8"	"1"	"3"	"5"	"8"	"12"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"198"	"17"	"17"	"5"	"237"	"232"	"0"	"0"
"17612"	"3"	"17"	"3"	"2"	"400"	"54"	"1"	"28"	"18"	"4"	"8"	"4"	"13"	"8"	"21"	"0"	"1"	"10"	"5"	"0"	"14"	"3"	"4"	"3"	"10"	"13"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"26"	"14"	"0"	"270"	"270"	"1"	"0"
"17613"	"3"	"17"	"3"	"2"	"400"	"41"	"2"	"27"	"20"	"5"	"5"	"3"	"8"	"11"	"17"	"0"	"0"	"7"	"5"	"0"	"11"	"1"	"9"	"7"	"5"	"12"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"21"	"19"	"0"	"246"	"246"	"1"	"0"
"17614"	"3"	"17"	"3"	"2"	"400"	"63"	"2"	"32"	"17"	"4"	"2"	"3"	"7"	"9"	"19"	"0"	"0"	"9"	"3"	"0"	"13"	"0"	"3"	"3"	"7"	"6"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"21"	"23"	"0"	"253"	"253"	"1"	"0"
