"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"EG"	"UNIDOS"	"UNE"	"VALOR"	"FUERZA"	"PHG"	"FCN_NACION"	"UNIONISTA"	"VICTORIA"	"MLP"	"VIVA"	"PPT"	"URNG_MAIZ"	"SEMILLA"	"BIEN"	"PC"	"LIBRE"	"AVANZA"	"UCN"	"PODEMOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8520"	"3"	"8"	"1"	"2"	"396"	"15"	"55"	"6"	"8"	"3"	"37"	"9"	"16"	"10"	"7"	"2"	"9"	"8"	"3"	"2"	"5"	"21"	"2"	"3"	"2"	"2"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"20"	"4"	"0"	"273"	"273"	"1"	"0"
"8521"	"3"	"8"	"1"	"2"	"399"	"26"	"41"	"6"	"3"	"4"	"20"	"7"	"11"	"13"	"2"	"1"	"5"	"10"	"5"	"0"	"7"	"14"	"4"	"2"	"2"	"1"	"7"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"21"	"1"	"4"	"240"	"240"	"1"	"0"
"8522"	"3"	"8"	"1"	"2"	"398"	"15"	"32"	"3"	"4"	"2"	"38"	"12"	"14"	"20"	"4"	"2"	"2"	"7"	"4"	"0"	"6"	"18"	"9"	"6"	"2"	"1"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"25"	"2"	"0"	"254"	"254"	"1"	"0"
"8523"	"3"	"8"	"1"	"2"	"391"	"19"	"36"	"7"	"6"	"6"	"24"	"6"	"10"	"18"	"7"	"7"	"5"	"8"	"4"	"2"	"6"	"25"	"2"	"6"	"2"	"1"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"17"	"4"	"0"	"252"	"252"	"1"	"0"
"8524"	"3"	"8"	"1"	"2"	"390"	"24"	"43"	"4"	"4"	"3"	"25"	"4"	"8"	"14"	"6"	"4"	"2"	"14"	"4"	"1"	"4"	"18"	"4"	"4"	"1"	"2"	"3"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"17"	"3"	"0"	"236"	"236"	"1"	"0"
"8525"	"3"	"8"	"1"	"2"	"398"	"11"	"32"	"4"	"5"	"4"	"37"	"3"	"13"	"13"	"8"	"3"	"0"	"17"	"3"	"0"	"7"	"11"	"11"	"3"	"4"	"3"	"0"	"17"	"3"	"0"	"7"	"11"	"11"	"3"	"4"	"204"	"204"	"30"	"11"	"0"	"245"	"245"	"1"	"0"
"8526"	"3"	"8"	"1"	"2"	"400"	"14"	"62"	"3"	"5"	"4"	"50"	"5"	"8"	"11"	"2"	"2"	"4"	"7"	"4"	"0"	"5"	"5"	"4"	"3"	"1"	"2"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"22"	"32"	"0"	"270"	"270"	"1"	"0"
"8527"	"3"	"8"	"1"	"2"	"400"	"5"	"97"	"2"	"1"	"1"	"77"	"1"	"7"	"8"	"4"	"0"	"2"	"6"	"2"	"0"	"4"	"3"	"4"	"2"	"3"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"21"	"20"	"0"	"278"	"278"	"1"	"0"
"8528"	"3"	"8"	"1"	"2"	"400"	"14"	"69"	"6"	"5"	"4"	"42"	"2"	"14"	"12"	"1"	"1"	"1"	"14"	"1"	"1"	"7"	"8"	"7"	"1"	"9"	"1"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"21"	"17"	"0"	"273"	"273"	"1"	"0"
"8529"	"3"	"8"	"1"	"2"	"400"	"21"	"38"	"3"	"5"	"6"	"30"	"3"	"22"	"12"	"5"	"2"	"2"	"9"	"2"	"0"	"3"	"9"	"10"	"1"	"2"	"2"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"28"	"19"	"0"	"254"	"254"	"1"	"0"
"8530"	"3"	"8"	"1"	"2"	"399"	"18"	"29"	"4"	"7"	"6"	"40"	"4"	"49"	"7"	"8"	"3"	"4"	"9"	"3"	"2"	"11"	"8"	"10"	"1"	"4"	"2"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"29"	"18"	"0"	"290"	"290"	"1"	"0"
"8531"	"3"	"8"	"1"	"2"	"400"	"10"	"40"	"6"	"7"	"2"	"37"	"6"	"41"	"8"	"6"	"3"	"3"	"12"	"8"	"2"	"5"	"6"	"2"	"2"	"2"	"2"	"5"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"30"	"10"	"0"	"275"	"275"	"1"	"0"
"8532"	"3"	"8"	"1"	"2"	"400"	"12"	"85"	"1"	"3"	"1"	"25"	"2"	"5"	"5"	"6"	"2"	"3"	"6"	"3"	"0"	"8"	"4"	"16"	"6"	"6"	"2"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"219"	"25"	"21"	"0"	"268"	"265"	"0"	"0"
"8533"	"3"	"8"	"1"	"2"	"401"	"13"	"50"	"5"	"7"	"0"	"30"	"4"	"26"	"10"	"6"	"1"	"3"	"16"	"3"	"1"	"4"	"10"	"4"	"3"	"5"	"2"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"216"	"34"	"15"	"0"	"268"	"265"	"0"	"0"
"8534"	"3"	"8"	"1"	"2"	"398"	"16"	"44"	"7"	"3"	"1"	"28"	"3"	"19"	"8"	"2"	"4"	"1"	"7"	"4"	"1"	"4"	"20"	"5"	"6"	"1"	"2"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"23"	"9"	"0"	"234"	"234"	"1"	"0"
"8535"	"3"	"8"	"1"	"2"	"332"	"4"	"36"	"1"	"2"	"5"	"19"	"2"	"22"	"10"	"4"	"1"	"1"	"16"	"6"	"0"	"8"	"7"	"1"	"1"	"1"	"0"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"17"	"8"	"0"	"188"	"188"	"1"	"0"
"8536"	"3"	"8"	"1"	"2"	"331"	"9"	"34"	"3"	"7"	"6"	"18"	"0"	"25"	"11"	"5"	"1"	"0"	"13"	"2"	"0"	"4"	"4"	"4"	"2"	"1"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"7"	"11"	"18"	"178"	"178"	"1"	"0"
"8537"	"3"	"8"	"1"	"2"	"400"	"14"	"67"	"3"	"6"	"2"	"67"	"5"	"6"	"13"	"4"	"5"	"4"	"4"	"3"	"0"	"9"	"9"	"3"	"1"	"5"	"6"	"14"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"21"	"25"	"0"	"306"	"306"	"1"	"0"
